name,city,nick
Atlanta Hawks,Atlanta,Hawks
Boston Celtics,Boston,Celtics
New Orleans Pelicans,New Orleans,Pelicans
Chicago Bulls,Chicago,Bulls
Dallas Mavericks,Dallas,Mavericks
Denver Nuggets,Denver,Nuggets
Houston Rockets,Houston,Rockets
Los Angeles Clippers,Los Angeles,Clippers
Los Angeles Lakers,Los Angeles,Lakers
Miami Heat,Miami,Heat
Milwaukee Bucks,Milwaukee,Bucks
Minnesota Timberwolves,Minnesota,Timberwolves
Brooklyn Nets,Brooklyn,Nets
New York Knicks,New York,NY Knicks
Orlando Magic,Orlando,Magic
Indiana Pacers,Indiana,Pacers
Philadelphia 76ers,Philadelphia,76ers
Phoenix Suns,Phoenix,Suns
Portland Trail Blazers,Portland,Trail Blazers
Sacramento Kings,Sacramento,Kings
San Antonio Spurs,San Antonio,Spurs
Oklahoma City Thunder,Oklahoma City,Thunder
Toronto Raptors,Toronto,Raptors
Utah Jazz,Utah,Jazz
Memphis Grizzlies,Memphis,Grizzlies
Washington Wizards,Washington,Wizards
Detroit Pistons,Detroit,Pistons
Charlotte Hornets,Charlotte,Hornets
Golden State Warriors,Golden State,Warriors
Cleveland Cavaliers,Cleveland,Cavaliers
