season,year
1946-47,1946
1947-48,1947
1948-49,1948
1949-50,1949
1950-51,1950
1951-52,1951
1952-53,1952
1953-54,1953
1954-55,1954
1955-56,1955
1956-57,1956
1957-58,1957
1958-59,1958
1959-60,1959
1960-61,1960
1961-62,1961
1962-63,1962
1963-64,1963
1964-65,1964
1965-66,1965
1966-67,1966
1967-68,1967
1968-69,1968
1969-70,1969
1970-71,1970
1971-72,1971
1972-73,1972
1973-74,1973
1974-75,1974
1975-76,1975
1976-77,1976
1977-78,1977
1978-79,1978
1979-80,1979
1980-81,1980
1981-82,1981
1982-83,1982
1983-84,1983
1984-85,1984
1985-86,1985
1986-87,1986
1987-88,1987
1988-89,1988
1989-90,1989
1990-91,1990
1991-92,1991
1992-93,1992
1993-94,1993
1994-95,1994
1995-96,1995
1996-97,1996
1997-98,1997
1998-99 *,1998
1999-00,1999
2000-01,2000
2001-02,2001
2002-03,2002
2003-04,2003
2004-05,2004
2005-06,2005
2006-07,2006
2007-08,2007
2008-09,2008
2009-10,2009
2010-11,2010
2011-12 *,2011
2012-13,2012
2013-14,2013
2014-15,2014
2015-16,2015
2016-17,2016
2017-18,2017
2018-19,2018
2019-20*,2019
