year,western_champion,eastern_champion,result,nba_champion,nba_vice_champion,final_sweep,mvp_name,mvp_height_m,mvp_height_ft,mvp_position,mvp_team,mvp_nationality,mvp_status
1950,Minneapolis Lakers,Syracuse Nationals,4–2,Minneapolis Lakers,Syracuse Nationals,false,N/A,,,N/A,N/A,N/A,N/A
1951,Rochester Royals,New York Knicks,4–3,Rochester Royals,New York Knicks,false,N/A,,,N/A,N/A,N/A,N/A
1952,Minneapolis Lakers,New York Knicks,4–3,Minneapolis Lakers,New York Knicks,false,N/A,,,N/A,N/A,N/A,N/A
1953,Minneapolis Lakers,New York Knicks,4–1,Minneapolis Lakers,New York Knicks,false,N/A,,,N/A,N/A,N/A,N/A
1954,Minneapolis Lakers,Syracuse Nationals,4–3,Minneapolis Lakers,Syracuse Nationals,false,N/A,,,N/A,N/A,N/A,N/A
1955,Fort Wayne Pistons,Syracuse Nationals,3–4,Syracuse Nationals,Fort Wayne Pistons,false,N/A,,,N/A,N/A,N/A,N/A
1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,Fort Wayne Pistons,false,B. Pettit,2.06,6.7585304,Forward,Saint Louis Hawks,US,Not reached Final
1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,false,B. Cousy,1.85,6.069554,Guard,Boston Celtics,US,Champion
1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,Boston Celtics,false,B. Russell,2.08,6.8241472000000005,Center,Boston Celtics,US,Vice-Champion
1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,Minneapolis Lakers,true,B. Pettit,2.06,6.7585304,Forward,Saint Louis Hawks,US,Not reached Final
1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,false,W. Chamberlain,2.16,7.0866144,Center,Philadelphia Warriors,US,Not reached Final
1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,St. Louis Hawks,false,B. Russell,2.08,6.8241472000000005,Center,Boston Celtics,US,Champion
