label;property;type
ATL;arena;STRING
ATL;city;STRING
ATL;coach;LIST
ATL;conference;LIST
ATL;division;LIST
ATL;games;INTEGER
ATL;general_manager;STRING
ATL;home_record;STRING
ATL;home_win%;FLOAT
ATL;losses;INTEGER
ATL;name;STRING
ATL;owner;STRING
ATL;record;STRING
ATL;road_record;STRING
ATL;road_win%;FLOAT
ATL;short;STRING
ATL;team;STRING
ATL;win%;FLOAT
ATL;wins;INTEGER
ATL;year;INTEGER
ATL;year_founded;INTEGER
Award;name;STRING
Award;short;STRING
BKN;arena;STRING
BKN;city;STRING
BKN;coach;LIST
BKN;conference;LIST
BKN;division;LIST
BKN;games;INTEGER
BKN;general_manager;STRING
BKN;home_record;STRING
BKN;home_win%;FLOAT
BKN;losses;INTEGER
BKN;name;STRING
BKN;owner;STRING
BKN;record;STRING
BKN;road_record;STRING
BKN;road_win%;FLOAT
BKN;short;STRING
BKN;team;STRING
BKN;win%;FLOAT
BKN;wins;INTEGER
BKN;year;INTEGER
BKN;year_founded;INTEGER
BOS;arena;STRING
BOS;city;STRING
BOS;coach;LIST
BOS;conference;LIST
BOS;division;LIST
BOS;games;INTEGER
BOS;general_manager;STRING
BOS;home_record;STRING
BOS;home_win%;FLOAT
BOS;losses;INTEGER
BOS;name;STRING
BOS;owner;STRING
BOS;record;STRING
BOS;road_record;STRING
BOS;road_win%;FLOAT
BOS;short;STRING
BOS;team;STRING
BOS;win%;FLOAT
BOS;wins;INTEGER
BOS;year;INTEGER
BOS;year_founded;INTEGER
BRK;arena;STRING
BRK;city;STRING
BRK;coach;LIST
BRK;conference;LIST
BRK;division;LIST
BRK;games;INTEGER
BRK;general_manager;STRING
BRK;home_record;STRING
BRK;home_win%;FLOAT
BRK;losses;INTEGER
BRK;name;STRING
BRK;owner;STRING
BRK;record;STRING
BRK;road_record;STRING
BRK;road_win%;FLOAT
BRK;short;STRING
BRK;team;STRING
BRK;win%;FLOAT
BRK;wins;INTEGER
BRK;year;INTEGER
BRK;year_founded;INTEGER
CHA;arena;STRING
CHA;city;STRING
CHA;coach;LIST
CHA;conference;LIST
CHA;division;LIST
CHA;games;INTEGER
CHA;general_manager;STRING
CHA;home_record;STRING
CHA;home_win%;FLOAT
CHA;losses;INTEGER
CHA;name;STRING
CHA;owner;STRING
CHA;record;STRING
CHA;road_record;STRING
CHA;road_win%;FLOAT
CHA;short;STRING
CHA;team;STRING
CHA;win%;FLOAT
CHA;wins;INTEGER
CHA;year;INTEGER
CHA;year_founded;INTEGER
Champions;coach;LIST
Champions;games;INTEGER
Champions;home_record;STRING
Champions;home_win%;FLOAT
Champions;losses;INTEGER
Champions;road_record;STRING
Champions;road_win%;FLOAT
Champions;team;STRING
Champions;win%;FLOAT
Champions;wins;INTEGER
Champions;year;INTEGER
CHI;arena;STRING
CHI;city;STRING
CHI;coach;LIST
CHI;conference;LIST
CHI;division;LIST
CHI;games;INTEGER
CHI;general_manager;STRING
CHI;home_record;STRING
CHI;home_win%;FLOAT
CHI;losses;INTEGER
CHI;name;STRING
CHI;owner;STRING
CHI;record;STRING
CHI;road_record;STRING
CHI;road_win%;FLOAT
CHI;short;STRING
CHI;team;STRING
CHI;win%;FLOAT
CHI;wins;INTEGER
CHI;year;INTEGER
CHI;year_founded;INTEGER
CHO;arena;STRING
CHO;city;STRING
CHO;coach;LIST
CHO;conference;LIST
CHO;division;LIST
CHO;games;INTEGER
CHO;general_manager;STRING
CHO;home_record;STRING
CHO;home_win%;FLOAT
CHO;losses;INTEGER
CHO;name;STRING
CHO;owner;STRING
CHO;record;STRING
CHO;road_record;STRING
CHO;road_win%;FLOAT
CHO;short;STRING
CHO;team;STRING
CHO;win%;FLOAT
CHO;wins;INTEGER
CHO;year;INTEGER
CHO;year_founded;INTEGER
CLE;arena;STRING
CLE;city;STRING
CLE;coach;LIST
CLE;conference;LIST
CLE;division;LIST
CLE;games;INTEGER
CLE;general_manager;STRING
CLE;home_record;STRING
CLE;home_win%;FLOAT
CLE;losses;INTEGER
CLE;name;STRING
CLE;owner;STRING
CLE;record;STRING
CLE;road_record;STRING
CLE;road_win%;FLOAT
CLE;short;STRING
CLE;team;STRING
CLE;titles;LIST
CLE;win%;FLOAT
CLE;wins;INTEGER
CLE;year;INTEGER
CLE;year_founded;INTEGER
Coach;coy;INTEGER
Coach;name;STRING
Coach;teams_coached;LIST
Coach;titles;LIST
Coach;total_games;INTEGER
Coach;total_losses;INTEGER
Coach;total_win%;FLOAT
Coach;total_wins;INTEGER
Conference;name;STRING
DAL;arena;STRING
DAL;city;STRING
DAL;coach;LIST
DAL;conference;LIST
DAL;division;LIST
DAL;games;INTEGER
DAL;general_manager;STRING
DAL;home_record;STRING
DAL;home_win%;FLOAT
DAL;losses;INTEGER
DAL;name;STRING
DAL;owner;STRING
DAL;record;STRING
DAL;road_record;STRING
DAL;road_win%;FLOAT
DAL;short;STRING
DAL;team;STRING
DAL;titles;LIST
DAL;win%;FLOAT
DAL;wins;INTEGER
DAL;year;INTEGER
DAL;year_founded;INTEGER
DEN;arena;STRING
DEN;city;STRING
DEN;coach;LIST
DEN;conference;LIST
DEN;division;LIST
DEN;games;INTEGER
DEN;general_manager;STRING
DEN;home_record;STRING
DEN;home_win%;FLOAT
DEN;losses;INTEGER
DEN;name;STRING
DEN;owner;STRING
DEN;record;STRING
DEN;road_record;STRING
DEN;road_win%;FLOAT
DEN;short;STRING
DEN;team;STRING
DEN;win%;FLOAT
DEN;wins;INTEGER
DEN;year;INTEGER
DEN;year_founded;INTEGER
DET;arena;STRING
DET;city;STRING
DET;coach;LIST
DET;conference;LIST
DET;division;LIST
DET;games;INTEGER
DET;general_manager;STRING
DET;home_record;STRING
DET;home_win%;FLOAT
DET;losses;INTEGER
DET;name;STRING
DET;owner;STRING
DET;record;STRING
DET;road_record;STRING
DET;road_win%;FLOAT
DET;short;STRING
DET;team;STRING
DET;win%;FLOAT
DET;wins;INTEGER
DET;year;INTEGER
DET;year_founded;INTEGER
Division;conference;LIST
Division;name;STRING
East;arena;STRING
East;city;STRING
East;conference;LIST
East;date;STRING
East;division;LIST
East;final_score;STRING
East;games;INTEGER
East;general_manager;STRING
East;is_sweep;BOOLEAN
East;loser;STRING
East;name;STRING
East;owner;STRING
East;round;STRING
East;short;STRING
East;titles;LIST
